country,price_per_liter,total_cases_per_million
United States,1.37,6762.872
China,1.43,57.734
India,1.33,294.566
Japan,1.24,140.531
Russia,0.9,3948.695
Saudi Arabia,0.62,4364.177
Brazil,1.42,5169.934
South Korea,1.61,242.1
Canada,1.79,2662.111
Germany,2.02,2272.574
Mexico,1.15,1344.995
Iran,0.05,2382.535
France,2.19,2967.355
Indonesia,1.18,162.935
United Kingdom,2.22,4071.951
Singapore,2.3,7670.713
Thailand,1.51,44.989
Italy,2.12,3947.076
Spain,2.21,5261.245
Australia,1.38,289.318
Turkey,1.6,2192.933
Taiwan,1.04,18.696
Netherlands,2.47,2892.315
Egypt,0.52,515.623
Iraq,0.51,709.628
United Arab Emirates,1.1,4457.275
South Africa,1.48,1543.603
Argentina,1.05,903.481
Malaysia,0.46,261.043
Belgium,2.21,5205.318
Pakistan,1.03,784.268
Poland,1.8,836.574
Venezuela,0.02,131.998
Vietnam,1.42,3.555
Nigeria,0.42,93.699
Philippines,1.55,264.753
Colombia,0.6,1280.248
Algeria,0.31,260.688
Chile,1.39,12322.691
Hong Kong,3.0,149.349
Kuwait,0.34,9043.438
Ukraine,1.7,842.367
Morocco,1.68,263.464
Peru,1.65,7534.245
Ecuador,1.17,2780.058
Kazakhstan,0.48,906.82
Greece,2.51,313.96
Austria,2.13,1915.61
Sweden,2.3,5767.331
Romania,1.82,1240.604
Cuba,1.26,204.02
Hungary,2.01,424.116
Lebanon,1.43,226.912
Portugal,2.26,3819.954
Switzerland,2.19,3584.765
Denmark,2.65,2131.491
Israel,2.1,2225.379
Ireland,2.07,5092.211
Libya,0.03,78.177
New Zealand,2.07,294.755
Finland,2.64,1293.175
Panama,1.45,5756.367
Norway,2.7,1599.45
Oman,0.62,5468.877
Qatar,0.58,29512.811
Bangladesh,0.95,654.075
Myanmar,1.26,5.237
Kenya,1.36,81.439
Sudan,1.27,187.4
Angola,0.37,5.187
Sri Lanka,1.26,90.709
Syria,0.29,10.834
Tunisia,0.76,96.852
Jordan,1.66,98.841
Dominican Republic,1.41,2353.357
Bulgaria,1.72,561.432
Belarus,0.71,6135.425
Azerbaijan,0.59,1197.064
Guatemala,1.36,698.909
Bolivia,0.54,1986.996
Ghana,1.29,432.275
Slovakia,1.98,291.048
Ethiopia,0.71,37.913
Serbia,1.76,1863.19
Tanzania,1.28,8.277
Croatia,1.91,563.252
Bahrain,0.53,12201.03
Lithuania,2.14,665.462
Yemen,0.52,30.239
Honduras,1.45,1222.896
Trinidad and Tobago,0.99,87.646
Luxembourg,2.09,6466.461
Costa Rica,1.55,413.889
Jamaica,1.68,220.955
Uruguay,2.02,246.474
El Salvador,1.14,686.508
Slovenia,1.62,730.737
Cyprus,1.86,1099.324
Paraguay,1.4,188.652
Uzbekistan,0.9,181.313
Senegal,1.42,336.293
Cambodia,1.53,7.612
Malta,1.4,1286.572
Nepal,1.42,289.976
Mozambique,1.3,21.391
Cameroon,1.04,426.458
Kyrgyzstan,0.83,449.735
Latvia,2.19,595.093
Papua New Guinea,1.55,0.877
Nicaragua,1.37,271.993
Benin,0.96,52.205
Afghanistan,0.96,712.506
Bosnia and Herzegovina,1.73,1002.924
Georgia,1.33,225.641
Uganda,1.51,16.191
Estonia,2.21,1494.882
Mauritius,1.68,264.64
Albania,2.11,658.212
Namibia,1.27,17.779
Zimbabwe,1.62,31.738
Burkina Faso,1.14,41.913
Haiti,0.58,425.934
Mali,1.22,92.684
Zambia,1.48,75.579
Tajikistan,1.57,547.508
Mongolia,1.23,61.274
Botswana,1.13,37.126
North Macedonia,1.88,2403.176
Gabon,0.97,1943.103
Bahamas,1.71,262.021
New Caledonia,2.16,72.862
Guinea,1.36,367.483
Iceland,2.6,4921.473
Madagascar,1.02,52.872
Laos,1.91,2.575
Moldova,1.78,3467.424
Congo,1.04,156.089
Macao,1.43,68.348
Fiji,1.39,19.936
Togo,0.84,66.169
Guyana,1.22,231.549
Suriname,1.13,511.999
Maldives,0.95,4023.031
Barbados,2.18,337.147
South Sudan,1.27,165.358
Liberia,1.3,112.158
Aruba,1.61,942.208
Seychelles,1.82,111.212
Montenegro,1.71,571.61
Rwanda,1.42,52.875
Sierra Leone,1.37,160.784
Malawi,1.35,31.556
Armenia,1.26,6639.875
Somalia,0.8,168.404
Lesotho,1.5,1.853
Cayman Islands,1.66,2932.419
Belize,1.76,54.332
Gambia,1.33,14.878
Bhutan,1.18,87.191
Central African Republic,2.39,545.936
Grenada,1.22,203.513
Burundi,1.34,8.486
Comoros,1.36,278.01
Dominica,1.26,249.404
British Virgin Islands,0.95,262.959
Montserrat,1.21,2208.392
